model,MAE,MSE,RMSE,ACC,R2
lstm,10.940941704644096,340.3851880076238,18.449530834349794,0.9453026092043861,0.8505289183514457
lstm_cnn,14.92656389872233,465.4765725108025,21.57490608347583,0.921259402592266,0.7955983714141727
regression,0.9480242620457398,34.77034581542732,5.896638518293903,0.9944681189156699,0.9847315295100039
xgboost,0.7122160593668619,4.386501397475109,2.0943976216265883,0.9964230346845612,0.9980737848424861
