timestamp,p_mbar,T_degC,Tpot_K,Tdew_degC,rh_percent,VPmax_mbar,VPact_mbar,VPdef_mbar,sh_g_kg,H2OC_mmol_mol,rho_g_m3,wv_m_s,max_wv_m_s,wd_deg,target
2021-07-20 07:17:39,,,,,,,,,,,,,,,164.8065
2021-07-20 07:17:55,,,,,,,,,,,,,22.6078,,164.8591
2021-07-20 07:18:06,,,,,,,,,,,,21.12068,22.88326,,164.9781
2021-07-20 07:18:23,,,,,,,,,,,,21.18048,22.6749,,165.0605
2021-07-20 07:18:34,,,,,,,,,,,,21.53964,23.13401,,164.9873
2021-07-20 07:18:44,,,,,,,,,,,,21.13793,22.68066,,165.0422
2021-07-20 07:19:01,,,,,,,,,,,,21.40049,23.16903,,165.1109
2021-07-20 07:19:12,,,,,,,,,,,,21.22668,22.77014,,165.0811
2021-07-20 07:19:22,,,,,,,,,,,,21.52136,23.17211,,164.9827
2021-07-20 07:19:33,,,,,,,,,,,,21.52136,23.17211,,164.9049
2021-07-20 07:19:50,,540.7819,,,,,,,,,,21.39647,23.17211,,164.7355
2021-07-20 07:20:00,,540.7819,,,,,,,,,,21.39647,22.576,,164.8088
2021-07-20 07:20:11,,540.7819,,,,,,,,,,21.59316,22.6761,,164.7447
2021-07-20 07:20:28,,540.7819,,,,,,,,,,21.27195,22.22615,,164.66
2021-07-20 07:20:38,,540.7819,,,,,,,,,,21.27195,22.22615,,164.5204
2021-07-20 07:20:55,,540.7819,,,,,,,,,,21.34282,22.34612,,164.6989
2021-07-20 07:21:06,,540.7819,,,,,,,,,,21.68983,22.94746,,164.5982
2021-07-20 07:21:16,,540.7819,,,,,,,,,,21.33243,22.45166,,164.6669
2021-07-20 07:21:27,,540.7819,,,,,,,,,,21.33243,22.45166,,164.7538
2021-07-20 07:21:38,,540.7819,,,,,,,,,,21.33243,22.45166,,164.7355
2021-07-20 07:22:00,,540.7819,,,,,,,,,,21.65816,22.76661,,164.6257
2021-07-20 07:22:22,,540.7819,,,,,,,,,,21.31915,22.34609,,164.6211
2021-07-20 07:22:33,,540.7819,,,,,,,,,,21.31915,22.34609,,164.6989
2021-07-20 07:22:43,,540.7819,,,,,,,,,,21.50421,22.69454,,164.676
2021-07-20 07:22:54,,540.7819,,,,,,,,,,21.22463,22.49067,,164.7928
2021-07-20 07:23:11,,540.7819,,,,,,,,,,21.22463,22.49067,,164.763
2021-07-20 07:23:21,,540.7819,,,,,,,,,,21.22463,22.46877,,164.969
2021-07-20 07:23:38,,540.7819,,,,,,,,,,21.22463,22.78796,,165.2528
2021-07-20 07:23:49,,540.7819,,,,,,,,,,21.22463,22.78796,,165.2757
2021-07-20 07:23:59,,540.7819,,,,,,,,,,21.22463,22.62898,,165.3512
2021-07-20 07:24:16,,540.7819,,,,,,,,,,21.53138,22.62898,,165.1155
2021-07-20 07:24:27,,540.7819,,,,,,,,,,21.64136,22.9557,,165.0468
2021-07-20 07:24:37,,540.7819,,,,,,,,,,21.19807,22.41777,,164.731
2021-07-20 07:24:54,,540.7819,,,,,,,,,,21.19807,22.41777,,164.7081
2021-07-20 07:25:05,,540.7819,,,,,,,,,,21.31507,22.82924,,164.85
2021-07-20 07:25:15,,540.7819,,,,,,,,,,21.31507,22.82924,,164.8774
2021-07-20 07:25:26,,540.7819,,,,,,,,,,21.31507,22.8186,,164.8408
2021-07-20 07:25:43,,540.7819,,,,,,,,,,21.23125,23.13345,,164.8225
2021-07-20 07:25:53,,540.7819,,,,,,,,,,21.23125,23.13345,,164.9507
2021-07-20 07:26:04,,540.7819,,,,,,,,,,21.23417,23.01513,,164.9736
2021-07-20 07:26:15,,540.7819,,,,,,,,,,21.05448,23.01513,,164.731
2021-07-20 07:26:32,,540.7819,,,,,,,,,,21.05448,23.01513,,164.9003
2021-07-20 07:26:42,,540.7819,,,,,,,,,,21.05448,23.01513,,164.7973
2021-07-20 07:26:59,,540.7819,,,,,,,,,,21.05448,23.01513,,164.8134
2021-07-20 07:27:10,,540.7819,,,,,,,,,,21.05448,23.01513,,164.7859
2021-07-20 07:27:20,,540.7819,,,,,,,,,,21.33303,22.63202,,165.4633
2021-07-20 07:27:37,,540.7819,,,,,,,,,,21.17707,22.63202,,164.9003
2021-07-20 07:27:48,,540.7819,,,,,,,,,,21.54303,23.12036,,164.7035
2021-07-20 07:27:58,,540.7819,,,,,,,,,,21.23306,23.12036,,164.6486
2021-07-20 07:28:26,,540.7819,,,,,,,,,,21.50402,22.8496,,164.6143
2021-07-20 07:28:36,,540.7819,,,,,,,,,,21.61095,23.07736,,164.6257
2021-07-20 07:28:47,,540.7819,,,,,,,,,,21.61095,23.07736,,164.2801
2021-07-20 07:29:04,,540.7819,,,,,,,,,,21.22598,22.59052,,164.6394
2021-07-20 07:29:14,,540.7819,,,,,,,,,,21.22598,22.59052,,164.6074
